file,title_before,title_after,title_changed,desc_before,desc_after,desc_changed
neighborhoods.html,Queens &amp; Long Island Neighborhoods | Gadura Real Estate,Queens &amp; Long Island Neighborhoods | Gadura Real Estate,False,"Every Queens, Brooklyn, and Long Island neighborhood Gadura Real Estate serves. Click any neighborhood for prices, housing stock, schools, commute data, and active listings.","Every Queens, Brooklyn, and Long Island neighborhood Gadura Real Estate serves. Click any neighborhood for prices, housing stock, schools, commute data,...",True
accessibility.html,"Accessibility Statement — WCAG 2.1 AA Commitment | Gadura Real Estate, LLC",Accessibility Statement — WCAG 2.1 AA Commitment | Gadura RE,True,"Gadura Real Estate, LLC accessibility statement and WCAG 2.1 AA commitment. Request accommodations, report barriers, or get content in an alternative format.","Gadura Real Estate, LLC accessibility statement and WCAG 2.1 AA commitment. Request accommodations, report barriers, or get content in an alternative...",True
hindi-speaking-real-estate-agent-queens.html,"Hindi-Speaking Real Estate Agent in Queens, NY | Gadura Real Estate","Hindi-Speaking Real Estate Agent in Queens, NY | Gadura RE",True,"Find a Hindi-speaking real estate agent in Queens, NY. Gadura Real Estate speaks Hindi, Punjabi, Gujarati, and Urdu. Serving South Asian families in Ozone Park, Richmond Hill, Jamaica & Long Island since 2006.","Find a Hindi-speaking real estate agent in Queens, NY. Gadura Real Estate speaks Hindi, Punjabi, Gujarati, and Urdu.",True
fsbo-selling-without-broker-nyc.html,"Selling FSBO in NYC & Queens — Honest Pros, Cons & What You Still Need | Nitin Gadura","Selling FSBO in NYC & Queens — Honest Pros, Cons & What...",True,"Thinking of selling your home without a broker in Queens or NYC? Here's an honest guide to FSBO in New York — pricing, marketing, disclosures, and the legal steps you still need.","Thinking of selling your home without a broker in Queens or NYC? Here's an honest guide to FSBO in New York — pricing, marketing, disclosures, and the...",True
senior-downsizing-queens.html,"Senior Downsizing Services — Queens, Brooklyn & Long Island | Nitin Gadura","Senior Downsizing Services — Queens, Brooklyn & Long...",True,"Senior downsizing in Queens and Long Island: Nitin Gadura helps longtime homeowners sell the family home, time Medicare moves, and coordinate with adult children — patiently and respectfully.","Senior downsizing in Queens and Long Island: Nitin Gadura helps longtime homeowners sell the family home, time Medicare moves, and coordinate with adult...",True
index.html,Queens & Long Island Homes For Sale | Gadura Real Estate,Queens & Long Island Homes For Sale | Gadura Real Estate,False,"Family-owned real estate agency serving Queens & Long Island since 2006. Buy, sell, or rent in Ozone Park, Richmond Hill, Jamaica & beyond. Call (718) 850-0010.","Family-owned real estate agency serving Queens & Long Island since 2006. Buy, sell, or rent in Ozone Park, Richmond Hill, Jamaica & beyond.",True
divorce-home-sale-queens.html,Selling a Home During Divorce in Queens & Long Island | Nitin Gadura,Selling a Home During Divorce in Queens & Long Island |...,True,"Selling a marital home during divorce in Queens or Long Island: how Nitin Gadura coordinates with both spouses' attorneys, handles equitable-distribution timing, and gets the best net price — discreetly.","Selling a marital home during divorce in Queens or Long Island: how Nitin Gadura coordinates with both spouses' attorneys, handles equitable-distribution...",True
1031-exchange-queens.html,"1031 Exchange Property Search — Queens, Brooklyn & Long Island | Nitin Gadura","1031 Exchange Property Search — Queens, Brooklyn & Long...",True,"1031 exchange in Queens and Long Island: Nitin Gadura helps investors hit the 45-day identification and 180-day closing deadlines with multi-family, mixed-use, and commercial replacement property.","1031 exchange in Queens and Long Island: Nitin Gadura helps investors hit the 45-day identification and 180-day closing deadlines with multi-family,...",True
punjabi-speaking-real-estate-agent-queens.html,Punjabi-Speaking Real Estate Agent Queens NY | Gadura Real Estate,Punjabi-Speaking Real Estate Agent Queens NY | Gadura RE,True,"Queens real estate agent who speaks Punjabi. Gadura Real Estate serves the Sikh and Punjabi community across Ozone Park, Richmond Hill, South Richmond Hill, and Long Island. 20+ years. (917) 705-0132.","Queens real estate agent who speaks Punjabi. Gadura Real Estate serves the Sikh and Punjabi community across Ozone Park, Richmond Hill, South Richmond...",True
flat-fee-vs-full-service.html,Flat-Fee vs. Full-Service Listing in NY — Which Actually Nets More? | Nitin Gadura,Flat-Fee vs. Full-Service Listing in NY — Which Actually...,True,"Flat-fee vs. full-service real estate listings in Queens, Long Island, and NYC: what each costs, what you get, and which one actually nets you more at closing.","Flat-fee vs. full-service real estate listings in Queens, Long Island, and NYC: what each costs, what you get, and which one actually nets you more at...",True
